\FILE_NAME,\STAR_ID,\DATA_CATEGORY,\NUMBER_OF_POINTS,\TIME_REFERENCE_FRAME,\MINIMUM_DATE,\DATE_UNITS,\MAXIMUM_DATE,\MINIMUM_VALUE,\VALUE_UNITS,\MAXIMUM_VALUE,\REFERENCE,\BIBCODE,\TELESCOPE,\INSTRUMENT,\WAVELENGTH_CALIBRATION_TECHNIQUE,\OBSERVATORY_SITE,\COLUMN_FCJD,\COLUMN_RADIAL_VELOCITY
KEPLER3.TRES-2_101_RV.tbl,2MASS J19055361+4919212,Planet Radial Velocity Curve,21,FCJD,2454956.914896,days,2455521.551042,-179.636,m/s,176.708,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HAT-P-1_106_RV.tbl,2MASS J22540095+3904506,Planet Radial Velocity Curve,31,FCJD,2454777.650150,days,2455543.598148,-157.229,m/s,234.619,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD118203_054_RV.tbl,TYC 3850-00458-1,Planet Radial Velocity Curve,24,FCJD,2454926.852755,days,2455558.013808,-364.879,m/s,242.754,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K7_075_RV.tbl,2MASS J19021603+4553340,Planet Radial Velocity Curve,20,FCJD,2454963.934572,days,2455468.690903,-10788.204,m/s,23912.238,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HIP14810_117_RV.tbl,2MASS J03061953+2054415,Planet Radial Velocity Curve,33,FCJD,2454777.817905,days,2455557.789294,-219.562,m/s,596.259,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD68988_004_RV.tbl,2MASS J08222915+6224458,Planet Radial Velocity Curve,39,FCJD,2454782.949317,days,2455522.982975,-306.695,m/s,265.806,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
WASP-1_085_RV.tbl,2MASS J00193004+3234566,Planet Radial Velocity Curve,28,FCJD,2454777.601146,days,2455543.640336,-178.948,m/s,118.032,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
KEPLER3.TRES-2_001_RV.tbl,2MASS J19105115+4848129,Planet Radial Velocity Curve,21,FCJD,2454956.914896,days,2455521.551042,-86.541,m/s,431.898,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HAT-P-1_006_RV.tbl,2MASS J22561262+3755172,Planet Radial Velocity Curve,31,FCJD,2454777.650150,days,2455543.598148,-188.786,m/s,178.763,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K15_108_RV.tbl,2MASS J19455499+4206434,Planet Radial Velocity Curve,20,FCJD,2454902.997951,days,2455489.611042,-143.299,m/s,140.846,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1631_032_RV.tbl,2MASS J06525272+6004534,Planet Radial Velocity Curve,32,FCJD,2454779.866354,days,2455556.925718,-101.729,m/s,107.925,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APG_120+00_092_RV.tbl,2MASS J00345670+6251521,Planet Radial Velocity Curve,34,FCJD,2455846.596250,days,2455848.622222,-18166.867,m/s,16243.862,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1348_017_RV.tbl,2MASS J17361293+4053024,Planet Radial Velocity Curve,24,FCJD,2454935.896042,days,2455486.571053,-162.605,m/s,136.280,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K14_052_RV.tbl,2MASS J19522841+4550374,Planet Radial Velocity Curve,25,FCJD,2455139.636505,days,2455542.555382,-165.701,m/s,146.145,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD68988_104_RV.tbl,2MASS J08133564+6013102,Planet Radial Velocity Curve,39,FCJD,2454782.949317,days,2455522.982975,-375.977,m/s,427.458,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HD46375_069_RV.tbl,2MASS J06300879+0536192,Planet Radial Velocity Curve,23,FCJD,2454931.613194,days,2455557.831134,-9154.969,m/s,9377.182,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
KEPLER4_084_RV.tbl,2MASS J18470251+4612136,Planet Radial Velocity Curve,22,FCJD,2454994.836597,days,2455496.564896,-309.619,m/s,273.887,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
HIP14810_017_RV.tbl,2MASS J03074267+1957517,Planet Radial Velocity Curve,33,FCJD,2454777.817905,days,2455557.789294,-259.041,m/s,170.338,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_VOD2_020_RV.tbl,NMD1-0888-0219080,Planet Radial Velocity Curve,21,FCJD,2455579.917894,days,2456084.639502,-159.071,m/s,147.970,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K10_069_RV.tbl,2MASS J19325173+4634479,Planet Radial Velocity Curve,23,FCJD,2454934.956875,days,2455550.556447,-21570.326,m/s,8231.869,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APGS_M3_087_RV.tbl,2MASS J13500914+2805011,Planet Radial Velocity Curve,42,FCJD,2455610.028079,days,2456078.634282,-6082.286,m/s,21445.494,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
